Code;Title;Vintage;Size;ABV;Style;Country;Group;Available;Price (inc VAT);Price (ex-VAT);Link
HED27286;Ruppert Leroy 11 12 13;;75cl;12;White;France;Champagne;2;79;65.83;https://hedonism.co.uk/product/ruppert-leroy-111213
HED1936;Jura Vin Jaune 1774;1774;62cl;12;White;France;Regional France;1;42400;35333.33;https://hedonism.co.uk/product/jura-vin-jaune-1774
HED94290;Constantia Sweet Wine Half 1791;1791;37.5cl;;White;South Africa;South Africa;1;16600;13833.33;https://hedonism.co.uk/product/constantia-sweet-wine-half-1791
HED2234;Yquem 1847;1847;75cl;13;White;France;Sauternes & Barsac;1;59900;49916.67;https://hedonism.co.uk/product/yquem-1847
HED33509;Yquem (Recorked 1996) 1873;1873;75cl;13;White;France;Sauternes & Barsac;1;10700;8916.67;https://hedonism.co.uk/product/yquem-recorked-1996-1873
HED33470;d`Oliveiras Moscatel 1875;1875;75cl;20;White;Portugal;Madeira;1;1140;950;https://hedonism.co.uk/product/doliveiras-moscatel-1875
HED73183;Barbadillo Versos Amontillado Bottle 008 1891;1891;75cl;20;White;Spain;Sherry;1;5520;4600;https://hedonism.co.uk/product/barbadillo-versos-amontillado-bottle-008-1891
HED33525;Climens (Missing Label) 1921;1921;75cl;13;White;France;Sauternes & Barsac;1;1280;1066.67;https://hedonism.co.uk/product/climens-missing-label-1921
HED51060;Margaux (Low Fill) 1933;1933;75cl;12;Red;France;Bordeaux;1;763;635.83;https://hedonism.co.uk/product/margaux-low-fill-1933
HED97236;Ausone (Mid-Shoulder) 1934;1934;75cl;13;Red;France;Bordeaux;1;850;708.33;https://hedonism.co.uk/product/ausone-mid-shoulder-1934
HED2251;Yquem 1935;1935;75cl;13;White;France;Sauternes & Barsac;1;2500;2083.33;https://hedonism.co.uk/product/yquem-1935
HED34841;Massandra Livadia Red Port 1937;1937;75cl;20;Red;Ukraine;Ukraine;8;308;256.67;https://hedonism.co.uk/product/massandra-livadia-red-port-1937
HED86593;Massandra Gurzuf Rose Muscat 1937;1937;75cl;11.2;Rose;Ukraine;Ukraine;15;588;490;https://hedonism.co.uk/product/massandra-gurzuf-rose-muscat-1937
HED2253;Yquem 1937;1937;75cl;13;White;France;Sauternes & Barsac;1;3500;2916.67;https://hedonism.co.uk/product/yquem-1937
HED66598;Legend Maury Gerard Bertrand (Ex Domaine) 1939;1939;75cl;16;Red;France;Regional France;15;356;296.67;https://hedonism.co.uk/product/legend-maury-gerard-bertrand-ex-domaine-1939
HED34827;Massandra Ayu Dag Kagor 1939;1939;75cl;16;Red;Ukraine;Ukraine;1;512;426.67;https://hedonism.co.uk/product/massandra-ayu-dag-kagor-1939
HED64621;Massandra Gurzuf Rose Muscat 1939;1939;75cl;10.6;White;Ukraine;Ukraine;3;668;556.67;https://hedonism.co.uk/product/massandra-gurzuf-rose-muscat-1939
HED27533;Palmer 1940;1940;75cl;12.5;Red;France;Bordeaux;1;1000;833.33;https://hedonism.co.uk/product/palmer-1940
HED62498;Massandra Alupka White Port (Sotheby`s Release) 1940;1940;75cl;17.1;White;Ukraine;Ukraine;17;445;370.83;https://hedonism.co.uk/product/massandra-alupka-white-port-sothebys-release-1940
HED86696;Massandra Alupka White Port 1940;1940;75cl;17.1;White;Ukraine;Ukraine;48;512;426.67;https://hedonism.co.uk/product/massandra-alupka-white-port-1940
HED34798;Massandra Alupka Rose Muscat 1940;1940;75cl;14.3;White;Ukraine;Ukraine;1;656;546.67;https://hedonism.co.uk/product/massandra-alupka-rose-muscat-1940
HED91683;Pichon Lalande 1942;1942;75cl;12;Red;France;Bordeaux;5;909;757.5;https://hedonism.co.uk/product/pichon-lalande-1942
HED91687;Leoville Las Cases (Low Fill) 1942;1942;75cl;12.5;Red;France;Bordeaux;2;401;334.17;https://hedonism.co.uk/product/leoville-las-cases-low-fill-1942
HED2257;Yquem 1942;1942;75cl;14;White;France;Sauternes & Barsac;1;1800;1500;https://hedonism.co.uk/product/yquem-1942
HED34828;Massandra South Coast Kagor 1944;1944;75cl;16;Red;Ukraine;Ukraine;5;498;415;https://hedonism.co.uk/product/massandra-south-coast-kagor-1944
HED34500;Massandra Sherry 1944;1944;75cl;19.3;White;Ukraine;Ukraine;42;508;423.33;https://hedonism.co.uk/product/massandra-sherry-1944
